GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker-model,org.cards.object,Hand,191,458,27,29,44,70,27,24,8,15
poker-model,org.cards.object,Deck,115,55,10,4,23,8,12,3,7,1
poker-model,org.cards.object,Card.ranks,0,105,0,0,0,6,0,3,0,3
poker-model,org.cards.object,Card,80,19,14,0,18,7,10,4,3,4
poker-model,org.cards.object,Card.suits,0,27,0,0,0,2,0,1,0,1
poker-model,org.cards.object,Hand.new Comparator() {...},26,0,2,0,4,0,3,0,2,0
poker-model,org.cards.object,Hand.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
poker-model,org.cards.exceptions,BalanceTooLow,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.exceptions,CardsAlreadyThrown,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.exceptions,InvalidCommand,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.exceptions,GameAlreadyInitialized,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.exceptions,PlayerInvalidCardsNumber,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.exceptions,InvalidCardCode,4,0,0,0,2,0,1,0,1,0
poker-model,org.cards.player,Player,118,32,4,0,36,11,19,2,17,2
poker-model,org.cards.game,Game.Pair,0,9,0,0,0,4,0,1,0,1
poker-model,org.cards.game,Game,1484,116,199,11,294,30,118,10,11,7
